user_id,birthday,gender,birth,birth_year,birth_month
94577459,20120706.0,0.0,2012-07-06,2012,7
95849627,,0.0,2006-12-23,2006,12
98425070,20140127.0,1.0,2014-01-27,2014,1
101415002,20120315.0,0.0,2012-03-15,2012,3
104211743,20130219.0,0.0,2013-02-19,2013,2
108083003,20141206.0,1.0,2014-12-06,2014,12
110798294,20120923.0,0.0,2012-09-23,2012,9
112842020,20101125.0,0.0,2010-11-25,2010,11
113554421,20100909.0,0.0,2010-09-09,2010,9
115248467,20130418.0,1.0,2013-04-18,2013,4
116573081,20121113.0,0.0,2012-11-13,2012,11
119127104,20110820.0,1.0,2011-08-20,2011,8
121722809,20140601.0,1.0,2014-06-01,2014,6
124333754,20140323.0,1.0,2014-03-23,2014,3
125703503,20120725.0,0.0,2012-07-25,2012,7
127104347,20120424.0,0.0,2012-04-24,2012,4
129162752,20101113.0,0.0,2010-11-13,2010,11
130263794,20100429.0,0.0,2010-04-29,2010,4
131325713,20110429.0,0.0,2011-04-29,2011,4
132383393,20150315.0,0.0,2015-03-15,2015,3
133647926,20130925.0,1.0,2013-09-25,2013,9
135519929,20120226.0,1.0,2012-02-26,2012,2
136451900,20121018.0,0.0,2012-10-18,2012,10
137364326,20101112.0,0.0,2010-11-12,2010,11
138121253,20110303.0,1.0,2011-03-03,2011,3
139879121,,1.0,2004-06-22,2004,6
140860418,20131202.0,0.0,2013-12-02,2013,12
142427984,20110721.0,0.0,2011-07-21,2011,7
143808779,20101001.0,1.0,2010-10-01,2010,10
150096824,20140928.0,0.0,2014-09-28,2014,9
150330797,20120404.0,0.0,2012-04-04,2012,4
150795260,20121121.0,1.0,2012-11-21,2012,11
154492646,20111113.0,1.0,2011-11-13,2011,11
155835737,20140615.0,1.0,2014-06-15,2014,6
157720562,20140831.0,0.0,2014-08-31,2014,8
159041066,20120723.0,1.0,2012-07-23,2012,7
160688669,20110915.0,1.0,2011-09-15,2011,9
163954748,20130616.0,0.0,2013-06-16,2013,6
167910527,20121121.0,0.0,2012-11-21,2012,11
171219494,20131109.0,0.0,2013-11-09,2013,11
175524797,,0.0,2009-05-16,2009,5
180332213,,0.0,2009-12-03,2009,12
183827816,20110430.0,0.0,2011-04-30,2011,4
186849644,20101115.0,1.0,2010-11-15,2010,11
188600174,20140121.0,1.0,2014-01-21,2014,1
191039747,20140709.0,0.0,2014-07-09,2014,7
195018770,20141109.0,0.0,2014-11-09,2014,11
198772898,20141115.0,0.0,2014-11-15,2014,11
200491949,20131106.0,1.0,2013-11-06,2013,11
210263456,20120907.0,0.0,2012-09-07,2012,9
213455117,20150702.0,0.0,2015-07-02,2015,7
220079966,20100808.0,0.0,2010-08-08,2010,8
224292962,20121213.0,1.0,2012-12-13,2012,12
229463294,20130707.0,0.0,2013-07-07,2013,7
243205895,20140702.0,0.0,2014-07-02,2014,7
249709718,20131120.0,1.0,2013-11-20,2013,11
259538915,20120423.0,0.0,2012-04-23,2012,4
264008927,20120325.0,0.0,2012-03-25,2012,3
266966105,,1.0,2008-10-13,2008,10
269267507,20121120.0,1.0,2012-11-20,2012,11
274379633,20140627.0,1.0,2014-06-27,2014,6
276246305,20101010.0,0.0,2010-10-10,2010,10
277357538,20120616.0,0.0,2012-06-16,2012,6
279787751,20130914.0,1.0,2013-09-14,2013,9
282788237,20101206.0,1.0,2010-12-06,2010,12
287230352,,1.0,2009-03-16,2009,3
290360210,20131029.0,0.0,2013-10-29,2013,10
294750833,20130730.0,1.0,2013-07-30,2013,7
299196791,20140331.0,0.0,2014-03-31,2014,3
306716492,20150301.0,1.0,2015-03-01,2015,3
321506990,20130213.0,0.0,2013-02-13,2013,2
324693962,20140219.0,0.0,2014-02-19,2014,2
338773232,20120807.0,1.0,2012-08-07,2012,8
347068613,20141120.0,0.0,2014-11-20,2014,11
350099492,,0.0,2008-06-22,2008,6
352890947,20101201.0,0.0,2010-12-01,2010,12
356049284,,0.0,2009-07-15,2009,7
358097309,20130915.0,1.0,2013-09-15,2013,9
359601689,20111215.0,0.0,2011-12-15,2011,12
363147332,,1.0,2009-01-29,2009,1
367656020,,1.0,2006-11-13,2006,11
369616040,20141005.0,0.0,2014-10-05,2014,10
370606430,20130604.0,0.0,2013-06-04,2013,6
373105196,20140103.0,1.0,2014-01-03,2014,1
376448732,,1.0,2006-03-07,2006,3
377473718,20111226.0,1.0,2011-12-26,2011,12
378871709,20120223.0,1.0,2012-02-23,2012,2
381275366,20130709.0,0.0,2013-07-09,2013,7
385135931,20141104.0,0.0,2014-11-04,2014,11
388415192,,1.0,2009-09-18,2009,9
392508254,,0.0,2009-08-09,2009,8
394567091,,0.0,2008-10-16,2008,10
398312015,20140623.0,1.0,2014-06-23,2014,6
404254046,,0.0,2009-01-11,2009,1
406935827,20131230.0,1.0,2013-12-30,2013,12
408499766,20140919.0,0.0,2014-09-19,2014,9
411194666,20140717.0,0.0,2014-07-17,2014,7
414883979,,0.0,2008-03-27,2008,3
418692116,20140602.0,1.0,2014-06-02,2014,6
425087423,20111123.0,1.0,2011-11-23,2011,11
437556506,20110928.0,0.0,2011-09-28,2011,9
441486929,20121128.0,1.0,2012-11-28,2012,11
447609368,20111115.0,1.0,2011-11-15,2011,11
466369304,20130802.0,1.0,2013-08-02,2013,8
476002223,20120817.0,0.0,2012-08-17,2012,8
486110123,20140602.0,0.0,2014-06-02,2014,6
504804896,20100220.0,0.0,2010-02-20,2010,2
506946641,20130418.0,0.0,2013-04-18,2013,4
511889597,20111106.0,1.0,2011-11-06,2011,11
525892484,20130619.0,1.0,2013-06-19,2013,6
545936732,,0.0,2006-08-10,2006,8
